Ek_folder,Ek,Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
Ek1e-6,1e-06,0.5,105,1839.1,64.7752,True,1.42182e-09,ok
Ek1e-6,1e-06,0.5,110,1926.15,757.712,True,2.19732e-10,ok
Ek1e-6,1e-06,0.5,115,2017.46,1285.65,True,1.51072e-10,ok
Ek1e-6,1e-06,0.5,120,2116.69,1689.89,True,1.64098e-11,ok
Ek1e-6,1e-06,0.7,1,1772.139970836294,-745.5139876923588,True,5.20639e-06,ok
Ek1e-6,1e-06,0.7,2,1356.5394747982173,-1211.0295846074312,True,0.000277478,ok
Ek1e-6,1e-06,0.7,3,1135.3604246243538,-1568.8604718048375,True,0.000395254,ok
Ek1e-6,1e-06,0.7,4,996.109980756887,-1867.479972285336,True,2.67676e-05,ok
Ek1e-6,1e-06,0.7,5,899.4318743721956,-2127.09,True,0.000133296,ok
Ek1e-6,1e-06,0.7,6,828.0219294040895,-2358.359866810458,True,0.000157344,ok
Ek1e-6,1e-06,0.7,7,773.0111010684759,-2567.78,True,0.000239401,ok
Ek1e-6,1e-06,0.7,8,729.3410149593484,-2759.6,True,3.95114e-05,ok
Ek1e-6,1e-06,0.7,9,693.8992313643573,-2936.82,True,0.000843321,ok
Ek1e-6,1e-06,0.7,10,664.6511327248282,-3101.650338724822,True,0.000522983,ok
Ek1e-6,1e-06,0.7,11,640.2078630963148,-3255.76,True,0.000450301,ok
Ek1e-6,1e-06,0.7,12,619.5840295986623,-3400.4500819788022,True,0.000141023,ok
Ek1e-6,1e-06,0.7,13,602.0600794463654,-3536.780225338782,True,0.000410511,ok
Ek1e-6,1e-06,0.7,14,587.0972788351279,-3665.58278835128,True,0.00120853,ok
Ek1e-6,1e-06,0.7,15,574.2822504940276,-3787.550744392629,True,0.00148762,ok
Ek1e-6,1e-06,0.7,16,563.2921596640931,-3903.2904753571943,True,0.00100461,ok
Ek1e-6,1e-06,0.7,17,553.8740537086612,-4013.270160125201,True,0.00035668,ok
Ek1e-6,1e-06,0.7,18,545.8227123250448,-4117.91,True,0.000571695,ok
Ek1e-6,1e-06,0.7,19,538.9722582721605,-4217.560770475773,True,0.0014255,ok
Ek1e-6,1e-06,0.7,20,533.1851229074085,-4312.548770925914,True,0.000972556,ok
Ek1e-6,1e-06,0.7,21,528.3498990705542,-4403.11,True,0.00071366,ok
Ek1e-6,1e-06,0.7,22,524.3728297543821,-4489.49,True,0.00122719,ok
Ek1e-6,1e-06,0.7,23,521.1719730504065,-4571.889730504064,True,0.00043401,ok
Ek1e-6,1e-06,0.7,24,518.6830779276665,-4650.47,True,0.000242298,ok
Ek1e-6,1e-06,0.7,25,516.8479873763039,-4725.39,True,0.000112914,ok
Ek1e-6,1e-06,0.7,30,515.9811159445408,-5049.05,True,0.00029436,ok
Ek1e-6,1e-06,0.7,35,526.3800057106179,-5294.650008652451,True,6.08274e-05,ok
Ek1e-6,1e-06,0.7,40,545.9749549409592,-5466.719964322483,True,0.000501344,ok
Ek1e-6,1e-06,0.7,45,573.7350152957921,-5565.57,True,0.0001693,ok
Ek1e-6,1e-06,0.7,50,609.1770007383811,-5588.409999417067,True,8.43355e-06,ok
Ek1e-6,1e-06,0.7,55,652.104000068905,-5529.989999893153,True,7.84934e-07,ok
Ek1e-6,1e-06,0.7,60,702.4450000307629,-5382.929999928531,True,3.47872e-07,ok
Ek1e-6,1e-06,0.7,65,760.1050682398261,-5137.939786750543,True,0.000766016,ok
Ek1e-6,1e-06,0.7,70,824.8079927147724,-4784.130028378126,True,8.16736e-05,ok
Ek1e-6,1e-06,0.7,75,895.8607696877008,-4309.991097891563,True,0.00257175,ok
Ek1e-6,1e-06,0.7,80,971.7759999966454,-3706.260000019134,True,3.79457e-08,ok
Ek1e-6,1e-06,0.7,85,1049.7,-2974.5,True,1.71228e-10,ok
Ek1e-6,1e-06,0.7,90,1125.06000002545,-2147.90999980953,True,3.30511e-07,ok
Ek1e-6,1e-06,0.7,95,1193.34,-1313.13,True,9.21665e-10,ok
Ek1e-6,1e-06,0.7,100,1254.64,-569.31,True,6.24869e-10,ok
Ek1e-6,1e-06,0.7,105,1313.39,45.0332,True,1.10782e-10,ok
Ek1e-6,1e-06,0.7,110,1373.86,540.441,True,1.97539e-10,ok
Ek1e-6,1e-06,0.7,115,1438.84,938.888,True,1.29789e-10,ok
Ek1e-6,1e-06,0.7,120,1510.06,1259.98,True,1.74704e-10,ok
