Ek_folder,Ek,Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,80,3667.359772357184,-34518.98323169721,True,0.386705,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,85,3995.238522081425,-34217.18808988876,True,2.21887,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,90,4353.1915872265845,-33780.38098163196,True,0.337922,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,95,4742.786596122261,-33189.85177346918,True,0.316343,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,100,5167.192277919845,-32462.279505533566,True,0.421245,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,105,,,False,18848.3,no_onset_in_range
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,110,6128.33302761667,-30570.06697238333,True,0.93423,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,115,6671.772600146692,-29378.69150972509,True,0.0140164,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,120,7261.815693549796,-27997.121532251014,True,0.0308035,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,170,14821.8234549516,5184.27468416034,True,5027.94,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,175,15473.399999985051,11343.199999977902,True,2.91013e-07,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,180,15950.800000005796,11648.700000003071,True,9.0611e-08,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,185,16471.599999891398,11784.5,True,3.67716e-07,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,190,17037.10000000198,11821.700000000152,True,2.34914e-08,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,195,,,False,38736.4,no_onset_in_range
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,245,26647.2,10555.7,True,6.34227e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,250,27877.9,10409.9,True,2.34983e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,255,29177.7,10265.2,True,8.71128e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,260,30549.4,10121.8,True,9.99698e-11,ok
